,Team
0,New York Knicks
1,Oklahoma City Thunder
2,Boston Celtics
3,Denver Nuggets
4,Golden State Warriors
5,Milwaukee Bucks
6,Los Angeles Lakers
7,Toronto Raptors
8,Golden State Warriors
9,Golden State Warriors
10,Cleveland Cavaliers
11,Golden State Warriors
12,San Antonio Spurs
13,Miami Heat
14,Miami Heat
15,Dallas Mavericks
16,Los Angeles Lakers
17,Los Angeles Lakers
18,Boston Celtics
19,San Antonio Spurs
20,Miami Heat
21,San Antonio Spurs
22,Detroit Pistons
23,San Antonio Spurs
24,Los Angeles Lakers
25,Los Angeles Lakers
26,Los Angeles Lakers
27,San Antonio Spurs
28,Chicago Bulls
29,Chicago Bulls
30,Chicago Bulls
31,Houston Rockets
32,Houston Rockets
33,Chicago Bulls
34,Chicago Bulls
35,Chicago Bulls
36,Detroit Pistons
37,Detroit Pistons
38,Los Angeles Lakers
39,Los Angeles Lakers
40,Boston Celtics
41,Los Angeles Lakers
42,Boston Celtics
43,Philadelphia 76ers
44,Los Angeles Lakers
45,Boston Celtics
46,Los Angeles Lakers
47,Seattle SuperSonics
48,Washington Bullets
49,Portland Trail Blazers
50,Boston Celtics
51,Golden State Warriors
52,Boston Celtics
53,New York Knicks
54,Los Angeles Lakers
55,Milwaukee Bucks
56,New York Knicks
57,Los Angeles Lakers
